e.g. Golden Retriever,e.g. DOG,e.g. SHORT/MEDIUM,e.g. FALSE,e.g. MINUTES,e.g. 60,e.g. 75
Scottish Fold,CAT,LONG/SHORT,TRUE,MINUTES,75,135
Serengeti cat,CAT,SHORT,TRUE,MINUTES,75,135
Siamese,CAT,SHORT,TRUE,MINUTES,75,135
Siberian,CAT,LONG,TRUE,MINUTES,75,135
Singapura,CAT,SHORT,TRUE,MINUTES,75,135
Snowshoe,CAT,SHORT,TRUE,MINUTES,75,135
Somali,CAT,LONG,TRUE,MINUTES,75,135
Sphynx,CAT,HAIRLESS,TRUE,MINUTES,75,135
Tabby,CAT,SHORT,TRUE,MINUTES,75,135
Thai cat,CAT,SHORT,TRUE,MINUTES,75,135
Tonkinese,CAT,SHORT,TRUE,MINUTES,75,135
Toyger,CAT,SHORT,TRUE,MINUTES,75,135
Turkish Angora,CAT,LONG,TRUE,MINUTES,75,135
